id,name,artist,album,duration,uri
"4HwClUHxzTmCgKkfUFPfxU","Play Poker Remix - Remix","SEBii, Maple","Play Poker Remix","?",""
"561jH07mF1jHuk7KlaeF0s","Mockingbird","Eminem","Encore (Deluxe Version)","?",""
"2xcNKsFTcNOyKrlWqIAWCe","Lovesick","Alan Walker, Sophie Simmons","Lovesick","?",""
"54qGyyqtfg5sZuQddMP7Bx","Greenwich in the Sky (Magical Astronomy)","RichaadEB","Greenwich in the Sky (Magical Astronomy)","?",""
"48UPSzbZjgc449aqz8bxox","Californication","Red Hot Chili Peppers","Californication (Deluxe Edition)","?",""
"0hCB0YR03f6AmQaHbwWDe8","Whole Lotta Love - 1990 Remaster","Led Zeppelin","Led Zeppelin II (1994 Remaster)","?",""
"7nwbtLpEq3Cw0YnFNYzkB1","the reason why","Fleeky","the reason why","?",""
"52R7RgCUe091WWS1RUaElC","She Share Story","Linearwave, Tuuh","She Share Story","?",""
"0d28khcov6AiegSCpG5TuT","Feel Good Inc.","Gorillaz, De La Soul","Demon Days","?",""
"0w3nm3bkkaUv03AQ2AReSt","WONDERFUL WONDER","EDOGA-SULLIVAN","NEWS","?",""
"3ECkz4odYU5HCv36zPYRwQ","Go Go Go Go! - Nightcore Version","Felsenstein","Go Go Go Go! (Nightcore Version)","?",""
"5MxNLUsfh7uzROypsoO5qe","Dream On","Aerosmith","Aerosmith","?",""
"2fSmmTjU1IwqwT1Bg6gCNn","Comatose Scenery","Unlike Pluto","Pixelated Oblivion","?",""
"5bPStIgiKb2G1gVWVvKNod","Cold Weather","Unlike Pluto","Pixelated Oblivion","?",""
"7bZvJsBS3TJY2v1zH2Nwsg","Sorry to Bother You","Unlike Pluto","Pixelated Oblivion","?",""
"7MdGMVh0VF9X3GudKunVOc","Crash and Burn","Unlike Pluto","Pixelated Oblivion","?",""
"6Y59BMrMeWGIi5aDux0ya4","Shelf Life","Unlike Pluto","Pixelated Oblivion","?",""
"64gz3xU9mO7MXqBhX4v5sF","It Goes Inside My Head","Unlike Pluto","Pixelated Oblivion","?",""
"1gkQ84ja5mk9ObmWgkfTZA","Smoke in My Heart","Unlike Pluto","Pixelated Oblivion","?",""
"6ZsJJjtDY9AstzAIaZbQkX","Fool's Paradise","Unlike Pluto","Pixelated Oblivion","?",""
"19iKQlJKzGrJUlHgNhdnWY","Harlequin","Unlike Pluto","Pixelated Oblivion","?",""
"0oLf1jYTjCuBJ2olIzu7Mb","I Don't Daydream Anymore","Unlike Pluto","Pixelated Oblivion","?",""
"75Cp8JxyrNeRHbWFk0djRa","Against the Timeline","Unlike Pluto","Pixelated Oblivion","?",""
"7jZirghLup1T5BxbCpJKeH","Digital Junkie","Unlike Pluto","Pixelated Oblivion","?",""
"2UQkAXXS9NORf4X9VRE7vk","Silly How I Feel","Unlike Pluto","Pixelated Oblivion","?",""
"7hbUuHOl7TB6uBYDlbFbvH","I'm Not Surprised","Unlike Pluto","Pixelated Oblivion","?",""
"3ihkdTEe1MLauMTKbeP0G3","Have Fun","Unlike Pluto","Pixelated Oblivion","?",""
"1OZ8kCYGQsasaQzYg8cyyu","Nightmare","Azari","Nightmare","?",""
"39Yp9wwQiSRIDOvrVg7mbk","THE SCOTTS","THE SCOTTS, Travis Scott, Kid Cudi","THE SCOTTS","?",""
"6gBFPUFcJLzWGx4lenP6h2","goosebumps","Travis Scott","Birds In The Trap Sing McKnight","?",""
"3eekarcy7kvN4yt5ZFzltW","HIGHEST IN THE ROOM","Travis Scott","HIGHEST IN THE ROOM","?",""
"7wBJfHzpfI3032CSD7CE2m","STARGAZING","Travis Scott","ASTROWORLD","?",""
"2xLMifQCjDGFmkHkpNLD9h","SICKO MODE","Travis Scott","ASTROWORLD","?",""
"27VDtNAW7BibVKdrIiR1wm","Polonaise brillante No. 1 in D Major, Op. 4","Henryk Wieniawski, James Ehnes, Eduard Laurel","Wieniawski / Sarasate: Violin Showpieces","?",""
"4i3AfdygCIDJ5A1nb9mEPj","Violin Sonata in G Minor, ""Devil's Trill"": III. Allegro assai","Giuseppe Tartini, Ray Chen, Noreen Polera","Virtuoso","?",""
"6pWgRkpqVfxnj3WuIcJ7WP","Cornfield Chase","Hans Zimmer","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]","?",""
"4Qw1GUG3WWdicrfQTwY4WT","Extraction Point","Hans Zimmer","Call of Duty: Modern Warfare 2 (Original Game Score)","?",""
"099LCe4mKoE1C03mu7IkAW","Burning Town","Nekki Games, Lind Erebros","Shadow Fight 2 (Original Game Soundtrack Vol. 1)","?",""
"1ai6CZYghbvcxEGeedqXoM","Old Sensei","Nekki Games, Lind Erebros","Shadow Fight 2 (Original Game Soundtrack Vol. 1)","?",""
